0.0,-95.5016072451
0.05,-95.6228669896
0.1,-95.6417276666
0.15,-97.223348726
0.2,-97.5038895105
0.25,-89.4313730958
0.3,-90.1368087739
0.35,-90.4650007443
0.4,-89.601250882
0.45,-89.6026222185
0.5,-90.4849447113
0.55,-88.7969725054
0.6,-88.3893978334
0.65,-87.9692304837
0.7,-88.7764733956
0.75,-87.6840765045
0.8,-87.7360790169
0.85,-88.0448305468
0.9,-87.3692060131
0.95,-87.336030557
1.0,-86.4792132567
1.05,-87.0476199477
1.1,-86.3178181873
1.15,-86.1421844341
1.2,-86.1710190133
1.25,-86.0789081802
1.3,-85.8173210664
1.35,-84.9803077394
1.4,-96.6704017575
1.45,-85.0991613311
1.5,-84.4733794145
1.55,-84.3171406791
1.6,-84.6349325698
1.65,-83.9550113184
1.7,-84.2315450035
1.75,-84.2693331581
1.8,-84.1063089027
1.85,-84.0897585489
1.9,-83.6314195452
1.95,-83.751353163
2.0,-83.3166685973
2.05,-83.3053404671
2.1,-96.3785966581
2.15,-97.1162277226
2.2,-97.0349900734
2.25,-96.2778300442
2.3,-81.9110230437
2.35,-96.4533969899
2.4,-95.2387912328
2.45,-80.9235456693
2.5,-95.7697550089
2.55,-96.1304300329
2.6,-81.6920962617
2.65,-93.9237258057
2.7,-94.889266049
2.75,-94.7632539497
2.8,-93.6909727626
