0.0,-0.326106537842
0.05,-0.438875072874
0.1,-0.33383905271
0.15,1.13441159412
0.2,0.631293694413
0.25,-0.553217033695
0.3,-2.80263317365
0.35,-4.00314988626
0.4,-6.42536527492
0.45,-6.10736279662
0.5,-8.18745937999
0.55,-9.54614513428
0.6,-11.9237579667
0.65,-12.8974028516
0.7,-15.1407253091
0.75,-16.46725499
0.8,-16.8030340028
0.85,-17.8329806004
0.9,-19.9028042342
0.95,-21.2840107065
1.0,-23.5410013122
1.05,-24.5258456692
1.1,-24.7072666975
1.15,-25.6273211788
1.2,-27.9456127212
1.25,-29.1893998785
1.3,-29.4433769103
1.35,-29.7473848274
1.4,-32.8037311048
1.45,-33.7632636753
1.5,-33.9449621056
1.55,-35.5636161524
1.6,-35.8558785142
1.65,-37.3691654379
1.7,-38.1671283029
1.75,-39.2995261131
1.8,-39.7319838744
1.85,-40.4378264141
1.9,-41.6278429048
1.95,-42.7755927542
2.0,-42.7871520274
2.05,-44.8378291112
2.1,-45.2105237954
2.15,-45.9750854048
2.2,-47.3758212575
2.25,-48.4098615713
2.3,-49.8792077952
2.35,-49.3391924212
2.4,-50.5983560073
2.45,-51.294513427
2.5,-52.7952284114
2.55,-53.9679390553
2.6,-54.7598155236
2.65,-55.4439159945
2.7,-56.6696054765
2.75,-56.4660197019
2.8,-57.6712598082
